name,longitude,latitude,best_resource
GOODLAND,-101.7003,39.3669,Hydro
GRAND FORKS INTL AP,-97.1831,47.9428,Wind
GRAND FORKS INTL AP,-97.1831,47.9428,Solar
GRAND IS CNTRL NE RGNL AP,-98.3131,40.9614,Solar
GRAND IS CNTRL NE RGNL AP,-98.3131,40.9614,Wind
GRAND JUNCTION WALKER FLD,-108.5408,39.1344,Solar
GRAND JUNCTION WALKER FLD,-108.5408,39.1344,Hydro
GRAND JUNCTION WALKER FLD,-108.5408,39.1344,Wind
GRAND RAPIDS,-85.545,42.8939,Solar
GRAND RAPIDS,-85.545,42.8939,Wind
GREAT FALLS AP,-111.3828,47.4733,Solar
GREAT FALLS AP,-111.3828,47.4733,Wind
GREAT FALLS AP,-111.3828,47.4733,Hydro
GREEN BAY,-88.1111,44.4986,Solar
GREEN BAY,-88.1111,44.4986,Wind
GREENSBORO AP,-79.9431,36.0969,Solar
GREENSBORO AP,-79.9431,36.0969,Wind
GREENVILLE ASOS,-90.9806,33.4939,Solar
GREENVILLE ASOS,-90.9806,33.4939,Wind
GREENWOOD LEFLORE AP,-90.0894,33.4961,Solar
GREER,-82.2197,34.8833,Solar
GREER,-82.2197,34.8833,Hydro
GREER,-82.2197,34.8833,Wind
GUAM INTERNATIONAL AIRPORT,144.8,13.4333,Solar
HARRISON BOONE CO AP,-93.1567,36.2672,Solar
HARRISON BOONE CO AP,-93.1567,36.2672,Hydro
HARRISON BOONE CO AP,-93.1567,36.2672,Wind
HARTFORD-BRADLEY INTL AP,-72.6819,41.9375,Solar
HARTFORD-BRADLEY INTL AP,-72.6819,41.9375,Wind
HATTIESBURG CHAIN MUNI AP,-89.2561,31.2694,Solar
HATTIESBURG CHAIN MUNI AP,-89.2561,31.2694,Wind
HAVRE AP ASOS,-109.7644,48.5425,Solar
HAVRE AP ASOS,-109.7644,48.5425,Wind
HAVRE AP ASOS,-109.7644,48.5425,Hydro
HELENA AP ASOS,-111.9892,46.6044,Solar
HELENA AP ASOS,-111.9892,46.6044,Wind
HELENA AP ASOS,-111.9892,46.6044,Hydro
HICKORY FAA AP,-81.3822,35.7419,Solar
HOUGHTON LAKE ROSCOMMON CO AP,-84.6739,44.3592,Solar
HOUGHTON LAKE ROSCOMMON CO AP,-84.6739,44.3592,Wind
HOUGHTON LAKE ROSCOMMON CO AP,-84.6739,44.3592,Hydro
HOUSTON INTERCONTINENTAL AP,-95.3608,29.9844,Solar
HOUSTON INTERCONTINENTAL AP,-95.3608,29.9844,Wind
HOUSTON WILLIAM P HOBBY AP,-95.2822,29.6458,Solar
HOUSTON WILLIAM P HOBBY AP,-95.2822,29.6458,Wind
HUNTINGTON TRI-STATE AP,-82.5547,38.3653,Solar
HUNTINGTON TRI-STATE AP,-82.5547,38.3653,Wind
HUNTSVILLE INTNL AP,-86.7861,34.6442,Solar
HUNTSVILLE INTNL AP,-86.7861,34.6442,Wind
HURON RGNL AP,-98.2228,44.3792,Solar
HURON RGNL AP,-98.2228,44.3792,Hydro
HURON RGNL AP,-98.2228,44.3792,Wind
IGOR I SIKORSKY MEM AP,-73.1267,41.1642,Solar
IGOR I SIKORSKY MEM AP,-73.1267,41.1642,Wind
INDIANAPOLIS,-86.2803,39.7075,Solar
INDIANAPOLIS,-86.2803,39.7075,Wind
INTL FALLS INTL AP,-93.3956,48.5594,Solar
INTL FALLS INTL AP,-93.3956,48.5594,Hydro
ISLIP-LI MACARTHUR AP,-73.1019,40.7939,Solar
ISLIP-LI MACARTHUR AP,-73.1019,40.7939,Wind
JACKSON,-83.3131,37.5908,Solar
JACKSON,-83.3131,37.5908,Hydro
JACKSON INTL AP,-90.0778,32.3197,Solar
JACKSON INTL AP,-90.0778,32.3197,Wind
JACKSONVILLE,-81.7019,30.4847,Solar
JACKSONVILLE CRAIG MUNI AP,-81.5128,30.3369,Solar
JFK INTL AP,-73.7639,40.6392,Solar
JFK INTL AP,-73.7639,40.6392,Wind
JOHN GLENN INTL AP,-82.8769,39.9906,Solar
JOHN GLENN INTL AP,-82.8769,39.9906,Wind
JUNEAU AP,-134.5561,58.3539,Solar
JUNEAU AP,-134.5561,58.3539,Wind
KALISPELL GLACIER AP,-114.2642,48.3042,Solar
KALISPELL GLACIER AP,-114.2642,48.3042,Hydro
KALISPELL GLACIER AP,-114.2642,48.3042,Wind
KANSAS CITY INTL AP,-94.7308,39.2975,Solar
KANSAS CITY INTL AP,-94.7308,39.2975,Hydro
KANSAS CITY INTL AP,-94.7308,39.2975,Wind
KEY W INTL AP,-81.7553,24.5569,Solar
KNOXVILLE AP,-83.9858,35.8181,Solar
KNOXVILLE AP,-83.9858,35.8181,Wind
LA CROSSE MUNI AP,-91.2531,43.8792,Solar
LA CROSSE MUNI AP,-91.2531,43.8792,Wind
LAGUARDIA AP,-73.8803,40.7794,Solar
LAGUARDIA AP,-73.8803,40.7794,Wind
LAKE CHARLES,-93.2158,30.1253,Wind
LAKE CHARLES,-93.2158,30.1253,Solar
LANDER AP,-108.7261,42.8153,Solar
LANSING CAPITAL CITY AP,-84.5997,42.7761,Solar
LANSING CAPITAL CITY AP,-84.5997,42.7761,Wind
LEWISTON AP,-117.0153,46.3744,Solar
LEWISTON AP,-117.0153,46.3744,Wind
LEWISTON AP,-117.0153,46.3744,Hydro
LEXINGTON BLUEGRASS AP,-84.6114,38.0339,Solar
LEXINGTON BLUEGRASS AP,-84.6114,38.0339,Wind
LINCOLN AP,-96.7647,40.8478,Solar
LINCOLN AP,-96.7647,40.8478,Hydro
LINCOLN AP,-96.7647,40.8478,Wind
LONGVIEW E TX RGNL AP,-94.7139,32.3908,Solar
LONGVIEW E TX RGNL AP,-94.7139,32.3908,Wind
LOUISVILLE INTL AP,-85.7308,38.1775,Solar
LOUISVILLE INTL AP,-85.7308,38.1775,Wind
LUBBOCK,-101.8142,33.6542,Solar
LUBBOCK,-101.8142,33.6542,Wind
LYNCHBURG RGNL AP,-79.2064,37.3214,Solar
MADISON DANE CO RGNL AP,-89.3453,43.1406,Solar
MADISON DANE CO RGNL AP,-89.3453,43.1406,Wind
MANSFIELD LAHM RGNL AP,-82.5178,40.8203,Solar
MANSFIELD LAHM RGNL AP,-82.5178,40.8203,Wind
MANSFIELD LAHM RGNL AP,-82.5178,40.8203,Hydro
MCCARRAN INTL AP,-115.1633,36.0719,Solar
MCCARRAN INTL AP,-115.1633,36.0719,Wind
MEDFORD INTL AP,-122.8769,42.375,Solar
MERIDIAN KEY FLD,-88.7508,32.3347,Solar
MERIDIAN KEY FLD,-88.7508,32.3347,Wind
MIAMI INTL AP,-80.3169,25.7881,Solar
MIDDLETOWN HARRISBURG INTL AP,-76.7725,40.1961,Solar
MIDDLETOWN HARRISBURG INTL AP,-76.7725,40.1961,Wind
MIDLAND ODESSA,-102.1892,31.9433,Solar
MIDLAND ODESSA,-102.1892,31.9433,Wind
MILWAUKEE MITCHELL AP,-87.9044,42.955,Solar
MILWAUKEE MITCHELL AP,-87.9044,42.955,Wind
MINNEAPOLIS-ST PAUL INTL AP,-93.2314,44.8853,Solar
MINNEAPOLIS-ST PAUL INTL AP,-93.2314,44.8853,Wind
MISSOULA INTL AP,-114.0939,46.9208,Solar
MISSOULA INTL AP,-114.0939,46.9208,Wind
MISSOULA INTL AP,-114.0939,46.9208,Hydro
MOBILE,-88.24,30.6794,Solar
MOBILE,-88.24,30.6794,Wind
MOLINE QUAD CITY INTL AP,-90.5236,41.4481,Solar
MOLINE QUAD CITY INTL AP,-90.5236,41.4481,Wind
MONTGOMERY AP,-86.4075,32.2997,Solar
MONTGOMERY AP,-86.4075,32.2997,Wind
MUSKEGON CO AP,-86.2369,43.1711,Solar
MUSKEGON CO AP,-86.2369,43.1711,Wind
N PLATTE RGNL AP,-100.6689,41.1219,Solar
N PLATTE RGNL AP,-100.6689,41.1219,Wind
NASHVILLE INTL AP,-86.6881,36.1106,Solar
NASHVILLE INTL AP,-86.6881,36.1106,Wind
NEWARK LIBERTY INTL AP,-74.1692,40.6828,Solar
NEWARK LIBERTY INTL AP,-74.1692,40.6828,Wind
NORFOLK INTL AP,-76.1928,36.9036,Solar
NORFOLK INTL AP,-76.1928,36.9036,Wind
NORFOLK KARL STEFAN MEM AP,-97.4336,41.98,Solar
NORFOLK KARL STEFAN MEM AP,-97.4336,41.98,Hydro
NORFOLK KARL STEFAN MEM AP,-97.4336,41.98,Wind
OKLAHOMA CY WILL ROGERS WORLD,-97.6003,35.3883,Solar
OKLAHOMA CY WILL ROGERS WORLD,-97.6003,35.3883,Wind
OMAHA EPPLEY AIRFIELD,-95.9019,41.3119,Solar
OMAHA EPPLEY AIRFIELD,-95.9019,41.3119,Wind
ORLANDO INTL AP,-81.3242,28.4183,Solar
ORLANDO INTL AP,-81.3242,28.4183,Wind
PADUCAH,-88.7719,37.0683,Solar
PADUCAH,-88.7719,37.0683,Wind
PENDLETON,-118.8531,45.6906,Solar
PENDLETON,-118.8531,45.6906,Wind
PENDLETON,-118.8531,45.6906,Hydro
PHILA INTL AP,-75.2269,39.8733,Solar
PHILA INTL AP,-75.2269,39.8733,Wind
PHOENIX AP,-112.0036,33.4278,Solar
PIERRE RGNL AP,-100.2864,44.3819,Solar
PIERRE RGNL AP,-100.2864,44.3819,Wind
PIERRE RGNL AP,-100.2864,44.3819,Hydro
PITTSBURGH ASOS,-80.2144,40.4847,Solar
PITTSBURGH ASOS,-80.2144,40.4847,Hydro
PITTSBURGH ASOS,-80.2144,40.4847,Wind
POCATELLO RGNL AP,-112.5722,42.9197,Solar
POCATELLO RGNL AP,-112.5722,42.9197,Wind
POCATELLO RGNL AP,-112.5722,42.9197,Hydro
PORT ARTHUR SE TX RGNL AP,-94.0261,29.9519,Solar
PORTLAND INTL AP,-122.6092,45.5958,Solar
PORTLAND INTL AP,-122.6092,45.5958,Wind
PORTLAND JETPORT,-70.3045,43.6425,Solar
PORTLAND JETPORT,-70.3045,43.6425,Wind
PROVIDENCE,-71.4325,41.7225,Solar
PROVIDENCE,-71.4325,41.7225,Wind
PUEBLO MEM AP,-104.5058,38.2886,Solar
PUEBLO MEM AP,-104.5058,38.2886,Hydro
PUEBLO MEM AP,-104.5058,38.2886,Wind
QUINCY RGNL AP,-91.1967,39.9372,Solar
QUINCY RGNL AP,-91.1967,39.9372,Wind
RALEIGH AP,-78.7819,35.8922,Solar
RALEIGH AP,-78.7819,35.8922,Wind
REDDING AP,-122.2978,40.5147,Solar
REDDING AP,-122.2978,40.5147,Wind
RENO AP,-119.7683,39.5078,Solar
RENO AP,-119.7683,39.5078,Hydro
RENO AP,-119.7683,39.5078,Wind
RICHMOND INTL AP,-77.3233,37.5117,Solar
RICHMOND INTL AP,-77.3233,37.5117,Wind
ROANOKE-BLACKSBURG RGNL AP,-79.9736,37.3172,Solar
ROANOKE-BLACKSBURG RGNL AP,-79.9736,37.3172,Wind
ROANOKE-BLACKSBURG RGNL AP,-79.9736,37.3172,Hydro
ROCHESTER GTR INTL,-77.6753,43.1172,Solar
ROCHESTER GTR INTL,-77.6753,43.1172,Wind
ROCHESTER INTL AP,-92.4919,43.9039,Solar
ROCHESTER INTL AP,-92.4919,43.9039,Wind
ROCHESTER INTL AP,-92.4919,43.9039,Hydro
ROCKFORD GTR ROCKFORD AP,-89.0933,42.1933,Solar
ROCKFORD GTR ROCKFORD AP,-89.0933,42.1933,Wind
ROSWELL IND AIR PK,-104.5081,33.3072,Solar
ROSWELL IND AIR PK,-104.5081,33.3072,Wind
S BEND AP,-86.3164,41.7072,Solar
S BEND AP,-86.3164,41.7072,Wind
SALISBURY-WICOMICO RGNL AP,-75.5133,38.3408,Solar
SALISBURY-WICOMICO RGNL AP,-75.5133,38.3408,Wind
SALT LAKE CITY INTL AP,-111.965,40.7706,Solar
SALT LAKE CITY INTL AP,-111.965,40.7706,Hydro
SALT LAKE CITY INTL AP,-111.965,40.7706,Wind
SAN ANGELO,-100.4925,31.3714,Solar
SAN ANGELO,-100.4925,31.3714,Wind
SAN ANTONIO INTL AP,-98.4839,29.5442,Solar
SAN ANTONIO INTL AP,-98.4839,29.5442,Wind
SAULT STE MARIE SANDERSON FLD,-84.3581,46.48,Solar
SAVANNAH INTL AP,-81.2022,32.1314,Solar
SAVANNAH INTL AP,-81.2022,32.1314,Wind
SCOTTSBLUFF W B HEILIG FLD AP,-103.6011,41.8747,Solar
SCOTTSBLUFF W B HEILIG FLD AP,-103.6011,41.8747,Wind
SCOTTSBLUFF W B HEILIG FLD AP,-103.6011,41.8747,Hydro
SEATTLE TACOMA AP,-122.3144,47.4447,Solar
SEATTLE TACOMA AP,-122.3144,47.4447,Wind
SHREVEPORT,-93.8414,32.4508,Solar
SHREVEPORT,-93.8414,32.4508,Wind
SIOUX CITY AP,-96.3794,42.3917,Solar
SIOUX CITY AP,-96.3794,42.3917,Hydro
SIOUX CITY AP,-96.3794,42.3917,Wind
SIOUX FALLS,-96.7294,43.5878,Solar
SIOUX FALLS,-96.7294,43.5878,Wind
SIOUX FALLS,-96.7294,43.5878,Hydro
SPOKANE INTL AP,-117.5281,47.6217,Solar
SPOKANE INTL AP,-117.5281,47.6217,Wind
SPOKANE INTL AP,-117.5281,47.6217,Hydro
SPRINGFIELD,-93.4006,37.2353,Solar
SPRINGFIELD,-93.4006,37.2353,Wind
SPRINGFIELD ABRAHAM LINCOLN CA,-89.6839,39.8453,Solar
SPRINGFIELD ABRAHAM LINCOLN CA,-89.6839,39.8453,Wind
ST CLOUD RGNL AP,-94.0517,45.5442,Solar
ST CLOUD RGNL AP,-94.0517,45.5442,Hydro
ST CLOUD RGNL AP,-94.0517,45.5442,Wind
ST LOUIS LAMBERT INTL AP,-90.3733,38.7525,Solar
ST LOUIS LAMBERT INTL AP,-90.3733,38.7525,Wind
SYRACUSE HANCOCK INTL AP,-76.1039,43.1111,Solar
SYRACUSE HANCOCK INTL AP,-76.1039,43.1111,Wind
